"","W1","W2","W3","Count"
"36447","oder","kann","es",3
"36448","ich","kanns","kaum",3
"36449","kanns","kaum","erwarten",3
"36450","könnt","ihr","in",3
"36451","noch","was","wird",3
"36452","und","nun","auf",3
"36453","im","netz","und",3
"36454","und","auch","hier",3
"36455","kannst","du","aber",3
"36456","ich","mich","dran",3
"36457","die","woche","auch",3
"36458","und","du","so",3
"36459","der","erfolg","gibt",3
"36460","hoffe","ihr","seid",3
"36461","ja","hier","ist",3
"36462","muss","mir","jetzt",3
"36463","sicht","ist","das",3
"36464","ein","problem","ist",3
"36465","was","sich","auch",3
"36466","sich","auch","nur",3
"36467","euch","noch","was",3
"36468","gern","auch","mal",3
"36469","zu","lesen","das",3
"36470","wenn","man","dich",3
"36471","es","nach","meiner",3
"36472","es","hier","auch",3
"36473","glück","ich","habe",3
"36474","ich","dann","im",3
"36475","hatte","gehofft","das",3
"36476","bekommen","und","auch",3
"36477","er","aus","einem",3
"36478","mit","meinem","eigenen",3
"36479","social","media","workshop",3
"36480","die","kleine","schwester",3
"36481","ich","hier","im",3
"36482","die","möglichkeit","dass",3
"36483","kilometer","in","richtung",3
"36484","bekommt","man","eigentlich",3
"36485","nach","köln","zu",3
"36486","die","nähe","von",3
"36487","du","hast","ihn",3
"36488","grad","draußen","und",3
"36489","geht","schon","mal",3
"36490","hätte","gern","eine",3
"36491","ist","es","wenigstens",3
"36492","sollte","sich","der",3
"36493","als","wär","ich",3
"36494","ja","schon","da",3
"36495","sie","wollen","frau",3
"36496","wollen","frau","merkel",3
"36497","also","nicht","so",3
"36498","nicht","so","tragisch",3
"36499","hoffe","das","beste",3
"36500","bier","trinken","und",3
"36501","die","sprache","des",3
"36502","an","die","zwei",3
"36503","ich","gerade","etwas",3
"36504","noch","viel","viel",3
"36505","kann","dir","nur",3
"36506","kein","thema","der",3
"36507","sie","es","wollen",3
"36508","wollte","eigentlich","nur",3
"36509","ich","glaub","er",3
"36510","an","den","unis",3
"36511","ich","schon","ich",3
"36512","wird","sie","zum",3
"36513","ich","glaub","dir",3
"36514","abend","noch","ein",3
"36515","nach","vier","stunden",3
"36516","wir","dann","endlich",3
"36517","alles","zusammen","und",3
"36518","ich","auf","einem",3
"36519","die","auf","ihre",3
"36520","bei","mir","genau",3
"36521","was","hat","dich",3
"36522","ich","widme","mich",3
"36523","ist","ja","heute",3
"36524","sinne","gute","nacht",3
"36525","und","bis","in",3
"36526","lesen","sie","weiter",3
"36527","der","woche","in",3
"36528","hast","du","vorher",3
"36529","schon","eine","weile",3
"36530","bin","immer","wieder",3
"36531","in","deutschland","es",3
"36532","lohnt","sich","also",3
"36533","und","sich","immer",3
"36534","nicht","die","sonne",3
"36535","ist","es","oft",3
"36536","wird","noch","ein",3
"36537","gehe","ich","zu",3
"36538","mit","ihm","über",3
"36539","ein","jahr","auf",3
"36540","lese","#fefe","weil",3
"36541","doch","gar","kein",3
"36542","die","macht","von",3
"36543","melde","mich","zurück",3
"36544","zwar","noch","ein",3
"36545","bei","den","großeltern",3
"36546","rückt","immer","näher",3
"36547","die","nächste","aufgabe",3
"36548","kein","bier","mehr",3
"36549","mehr","im","haus",3
"36550","ich","noch","lebe",3
"36551","auf","eine","schöne",3
"36552","mein","gehirn","ist",3
"36553","letzte","mal","als",3
"36554","mal","als","ich",3
"36555","weil","ich","sonst",3
"36556","hätte","in","der",3
"36557","gutes","hat","es",3
"36558","mal","genauer","anschauen",3
"36559","es","ja","dass",3
"36560","mach","doch","mal",3
"36561","ich","mich","wenigstens",3
"36562","könnt","ich","mir",3
"36563","ist","daher","auch",3
"36564","daher","auch","nicht",3
"36565","auch","nicht","meine",3
"36566","erst","in","3",3
"36567","mein","htc","desire",3
"36568","wenn","ja","wo",3
"36569","ein","schöner","traum",3
"36570","es","ein","ganz",3
"36571","fehlst","mir","so",3
"36572","ist","bisher","nicht",3
"36573","nicht","wieder","auf",3
"36574","ja","dann","doch",3
"36575","weg","mit","den",3
"36576","ja","nicht","alle",3
"36577","tag","und","ist",3
"36578","das","nicht","erklären",3
"36579","täglich","mehr","als",3
"36580","mehr","als","6",3
"36581","das","is","so",3
"36582","die","wohnung","der",3
"36583","in","den","1980er",3
"36584","oh","was","für",3
"36585","und","schöne","träume",3
"36586","ich","mich","immernoch",3
"36587","diese","weise","in",3
"36588","mich","durch","den",3
"36589","tag","mit","der",3
"36590","mich","ganz","herzlich",3
"36591","jetzt","macht","ihr",3
"36592","aber","nicht","da",3
"36593","nie","so","viele",3
"36594","gehen","in","den",3
"36595","freitag","geht","es",3
"36596","uns","doch","nicht",3
"36597","den","anderen","die",3
"36598","sicher","auch","noch",3
"36599","und","wünschen","euch",3
"36600","euch","eine","tolle",3
"36601","mit","ihr","um",3
"36602","jemand","schon","mal",3
"36603","schon","mal","versucht",3
"36604","noch","im","amt",3
"36605","im","amt","zu",3
"36606","die","katze","aus",3
"36607","ein","tolles","projekt",3
"36608","allein","um","den",3
"36609","ich","auch","nichts",3
"36610","im","juli","2011",3
"36611","zeit","muss","sein",3
"36612","du","siehst","aus",3
"36613","siehst","aus","wie",3
"36614","schau","mal","auf",3
"36615","und","im","grunde",3
"36616","im","grunde","nur",3
"36617","nur","im","rahmen",3
"36618","es","gibt","gerüchte",3
"36619","kommt","immer","gut",3
"36620","d","das","wird",3
"36621","du","bist","zu",3
"36622","oder","man","hasst",3
"36623","wenn","es","wieder",3
"36624","sowas","von","rt",3
"36625","rt","ich","sag",3
"36626","ganz","schön","viele",3
"36627","folgt","mir","jetzt",3
"36628","mit","ihm","ein",3
"36629","obwohl","er","sie",3
"36630","auf","interessante","gespräche",3
"36631","auf","der","alm",3
"36632","nix","anderes","mehr",3
"36633","mehr","viel","zeit",3
"36634","viel","zeit","dafür",3
"36635","man","sich","halt",3
"36636","bestimmt","auch","so",3
"36637","red","bull","auf",3
"36638","ein","guter","freund",3
"36639","gibt","es","übrigens",3
"36640","geh","schlafen","gute",3
"36641","kaffee","und","ein",3
"36642","mir","ja","mal",3
"36643","dein","auto","steht",3
"36644","uns","bei","der",3
"36645","der","kategorie","beste",3
"36646","das","gefühl","daß",3
"36647","als","erster","in",3
"36648","morgen","wieder","auf",3
"36649","wirklich","gut","an",3
"36650","in","der","#schule",3
"36651","sonst","würd","ich",3
"36652","würd","ich","dir",3
"36653","für","diesen","tag",3
"36654","das","gefühl","die",3
"36655","welt","geht","unter",3
"36656","an","einem","donnerstag",3
"36657","auf","die","jungs",3
"36658","mich","auch","total",3
"36659","so","einer","situation",3
"36660","deswegen","gehe","ich",3
"36661","gehe","ich","mal",3
"36662","mal","ins","bettchen",3
"36663","ich","soll","dir",3
"36664","die","verwendung","von",3
"36665","du","bereit","für",3
"36666","vor","allem","unsere",3
"36667","hat","wer","eine",3
"36668","auf","der","#cebit",3
"36669","die","arbeit","dann",3
"36670","arbeit","dann","das",3
"36671","so","der","hit",3
"36672","da","is","ja",3
"36673","ganz","gut","muss",3
"36674","warum","gehst","du",3
"36675","ich","trotzdem","nicht",3
"36676","das","es","da",3
"36677","da","schließe","ich",3
"36678","happy","birthday","liebe",3
"36679","und","ich","sach",3
"36680","ich","sach","noch",3
"36681","mal","mehr","mit",3
"36682","lass","die","finger",3
"36683","finger","von","den",3
"36684","ist","genau","wie",3
"36685","da","draußen","ist",3
"36686","dafür","dass","du",3
"36687","mit","ganz","vielen",3
"36688","so","schlecht","dass",3
"36689","ich","der","die",3
"36690","der","die","sache",3
"36691","meinung","bin","dass",3
"36692","dass","er","wenn",3
"36693","in","einen","kleinen",3
"36694","gebe","ich","die",3
"36695","etwas","was","man",3
"36696","nur","auf","ein",3
"36697","grund","ist","es",3
"36698","im","zdf","fernsehgarten",3
"36699","11","00","uhr",3
"36700","wir","nicht","mehr",3
"36701","kaum","hab","ich",3
"36702","die","sendung","wurde",3
"36703","jeden","fall","so",3
"36704","hat","aber","die",3
"36705","wie","das","funktioniert",3
"36706","ich","dich","schon",3
"36707","mehr","zum","thema",3
"36708","wurde","gerade","zum",3
"36709","ist","denn","nur",3
"36710","der","lage","zu",3
"36711","und","zu","verstehen",3
"36712","ist","manchmal","ein",3
"36713","bist","du","wahnsinnig",3
"36714","hättest","du","es",3
"36715","du","es","schon",3
"36716","ich","muss","um",3
"36717","geht","es","gerade",3
"36718","wussten","sie","schon",3
"36719","unsere","mitarbeiter","sind",3
"36720","irgendwo","muss","man",3
"36721","d","ich","will",3
"36722","ich","will","zurück",3
"36723","sagt","das","mehr",3
"36724","kann","mir","wer",3
"36725","hier","ist","sie",3
"36726","mir","keine","sorgen",3
"36727","sie","sind","eine",3
"36728","wenn","es","ihr",3
"36729","da","mit","dem",3
"36730","mich","um","meine",3
"36731","zu","höherem","berufen",3
"36732","er","aus","wie",3
"36733","die","#ff","empfehlung",3
"36734","gar","nicht","nötig",3
"36735","mal","was","aus",3
"36736","zeit","aber","ich",3
"36737","aber","ich","verstehe",3
"36738","sich","von","seinen",3
"36739","weg","für","immer",3
"36740","aber","das","ziel",3
"36741","auf","eigene","rechnung",3
"36742","war","schon","als",3
"36743","dir","einfach","mal",3
"36744","in","einem","berliner",3
"36745","dem","ich","nicht",3
"36746","man","dann","als",3
"36747","cent","pro","wort",3
"36748","ist","schon","super",3
"36749","tag","meines","lebens",3
"36750","ich","da","in",3
"36751","alle","paar","stunden",3
"36752","tag","für","das",3
"36753","jetzt","wisst","ihr",3
"36754","natürlich","nicht","zu",3
"36755","zu","seiner","familie",3
"36756","interessant","sind","die",3
"36757","unbedingt","in","den",3
"36758","in","high","heels",3
"36759","die","auswahl","ist",3
"36760","aus","der","wäsche",3
"36761","geh","ich","lieber",3
"36762","ich","lieber","direkt",3
"36763","ist","mir","unklar",3
"36764","morgen","ist","mein",3
"36765","lassen","am","besten",3
"36766","gibts","die","auch",3
"36767","gerade","mit","meinem",3
"36768","sagt","mir","bescheid",3
"36769","mir","bescheid","wenn",3
"36770","bescheid","wenn","ihr",3
"36771","morgen","heute","abend",3
"36772","für","alles","verantwortlich",3
"36773","morgen","gehts","wieder",3
"36774","das","denkt","sich",3
"36775","daß","sie","nicht",3
"36776","reise","durch","die",3
"36777","bedeutet","für","mich",3
"36778","kommt","und","geht",3
"36779","die","waren","zu",3
"36780","bin","will","ich",3
"36781","mir","die","neue",3
"36782","und","will","es",3
"36783","also","ich","glaub",3
"36784","da","könnte","ich",3
"36785","könnte","ich","auch",3
"36786","sich","sagen","dass",3
"36787","uhr","ist","die",3
"36788","ist","die","nacht",3
"36789","die","nacht","zu",3
"36790","und","ich","werd",3
"36791","ich","werd","das",3
"36792","soweit","so","gut",3
"36793","die","zahlreichen","glückwünsche",3
"36794","was","für","eins",3
"36795","glückwünsche","zu","meinem",3
"36796","wenn","im","herbst",3
"36797","kommst","du","da",3
"36798","nicht","gerade","meine",3
"36799","ist","es","wahr",3
"36800","den","körper","und",3
"36801","da","draußen","so",3
"36802","hat","wird","er",3
"36803","eine","rolle","und",3
"36804","im","grünen","büro",3
"36805","kann","also","losgehen",3
"36806","ende","auch","nicht",3
"36807","dazu","beigetragen","haben",3
"36808","so","wird","aus",3
"36809","die","definition","von",3
"36810","begeistert","von","dem",3
"36811","fahren","ist","nicht",3
"36812","die","antwort","war",3
"36813","war","zu","erwarten",3
"36814","ich","eine","andere",3
"36815","nicht","wie","oft",3
"36816","sich","schon","gelohnt",3
"36817","war","das","schön",3
"36818","habe","den","tag",3
"36819","langsam","nervt","es",3
"36820","eines","tages","wird",3
"36821","heißt","es","noch",3
"36822","einen","neuen","namen",3
"36823","nicht","weil","wir",3
"36824","was","ein","glück",3
"36825","daran","haben","wir",3
"36826","ich","hab","natürlich",3
"36827","und","haben","auch",3
"36828","abend","in","berlin",3
"36829","so","auf","in",3
"36830","auf","auch","der",3
"36831","fehlen","die","worte",3
"36832","bei","mir","leider",3
"36833","eindruck","von","der",3
"36834","ich","euch","etwas",3
"36835","das","einzig","gute",3
"36836","ich","mich","ganz",3
"36837","jeden","einzelnen","kommentar",3
"36838","wird","für","immer",3
"36839","das","was","mit",3
"36840","für","immer","das",3
"36841","das","dürfte","nicht",3
"36842","für","dich","sein",3
"36843","also","wenn","ihr",3
"36844","noch","eine","einladung",3
"36845","auch","die","bilder",3
"36846","ist","er","nur",3
"36847","nur","einmal","im",3
"36848","herzlichen","glückwunsch","du",3
"36849","wünsche","viel","spaß",3
"36850","und","für","jeden",3
"36851","steht","vor","dem",3
"36852","fall","ist","es",3
"36853","die","große","mehrheit",3
"36854","sind","hat","sich",3
"36855","system","in","dem",3
"36856","aber","auch","dazu",3
"36857","wo","steht","das",3
"36858","licht","für","das",3
"36859","und","antworten","zu",3
"36860","bisher","noch","nie",3
"36861","wie","immer","wenn",3
"36862","sollen","es","sein",3
"36863","komme","ich","ins",3
"36864","sagst","du","das",3
"36865","auch","was","mit",3
"36866","den","tollen","tag",3
"36867","schule","für","alle",3
"36868","okay","alles","klar",3
"36869","das","märchen","vom",3
"36870","und","wo","der",3
"36871","das","noch","kein",3
"36872","gemacht","aber","das",3
"36873","das","erklärt","so",3
"36874","erklärt","so","einiges",3
"36875","das","ich","bei",3
"36876","und","die","wirtschaft",3
"36877","heute","morgen","auf",3
"36878","werden","kann","das",3
"36879","das","ist","cool",3
"36880","mit","der","umsetzung",3
"36881","auf","sich","selbst",3
"36882","im","jahr","für",3
"36883","bevor","ich","noch",3
"36884","die","empfehlung","wünsche",3
"36885","ding","am","himmel",3
"36886","auch","der","grund",3
"36887","waren","da","und",3
"36888","eine","neue","webseite",3
"36889","steht","der","zug",3
"36890","darüber","reden","wie",3
"36891","hätte","auch","nicht",3
"36892","gedacht","dass","er",3
"36893","dass","er","bis",3
"36894","um","mal","wieder",3
"36895","fällt","gerade","auf",3
"36896","davon","dass","ich",3
"36897","und","ob","in",3
"36898","noch","ein","platz",3
"36899","menschen","und","das",3
"36900","ich","nächstes","mal",3
"36901","wenn","ich","jemandem",3
"36902","und","sie","zu",3
"36903","kochen","und","backen",3
"36904","er","sich","nur",3
"36905","können","noch","so",3
"36906","wird","ganz","bestimmt",3
"36907","zu","kommen","die",3
"36908","ca","einem","monat",3
"36909","und","zwar","so",3
"36910","den","besitz","der",3
"36911","das","ziel","des",3
"36912","ich","jetzt","so",3
"36913","der","letzten","reihe",3
"36914","immer","zu","spät",3
"36915","zufrieden","mit","meinem",3
"36916","ich","bilde","mir",3
"36917","sind","schon","was",3
"36918","sind","gekommen","um",3
"36919","gekommen","um","zu",3
"36920","um","zu","bleiben",3
"36921","nicht","wusste","was",3
"36922","wusste","was","er",3
"36923","was","er","sagen",3
"36924","aus","dem","verein",3
"36925","dass","der","auch",3
"36926","auch","auf","meinem",3
"36927","ich","kann","diesen",3
"36928","in","der","besten",3
"36929","recht","geben","muss",3
"36930","die","wahl","hat",3
"36931","mit","dem","erreichen",3
"36932","höhe","von","50",3
"36933","für","die","anschaffung",3
"36934","uns","noch","ein",3
"36935","mir","selbst","den",3
"36936","von","innen","heraus",3
"36937","hat","die","chance",3
"36938","für","alle","und",3
"36939","muss","ich","schon",3
"36940","auf","einen","tollen",3
"36941","rt","ich","liebe",3
"36942","auch","sonst","nix",3
"36943","sich","einen","weiteren",3
"36944","vor","ende","des",3
"36945","der","bilder","von",3
"36946","in","zeiten","in",3
"36947","muss","und","die",3
"36948","ja","wie","in",3
"36949","seiten","die","ich",3
"36950","blitz","und","donner",3
"36951","es","schon","sein",3
"36952","aber","kein","regen",3
"36953","mehr","als","1300",3
"36954","ein","dank","an",3
"36955","doch","mal","schauen",3
"36956","leicht","zu","finden",3
"36957","klar","ist","ja",3
"36958","kenn","ich","schon",3
"36959","schaffst","du","schon",3
"36960","ja","schon","für",3
"36961","zu","glauben","das",3
"36962","heute","der","letzte",3
"36963","ob","es","da",3
"36964","der","apfel","fällt",3
"36965","apfel","fällt","nicht",3
"36966","fällt","nicht","weit",3
"36967","die","hände","und",3
"36968","so","schön","mit",3
"36969","mit","dir","zu",3
"36970","kommst","du","auch",3
"36971","schaffe","es","leider",3
"36972","danke","dass","sie",3
"36973","verstehe","ich","jetzt",3
"36974","zumindest","einen","teil",3
"36975","von","mir","der",3
"36976","steve","jobs","war",3
"36977","dank","und","ein",3
"36978","bin","sehr","stolz",3
"36979","nicht","ins","internet",3
"36980","geht","der","trend",3
"36981","kann","man","per",3
"36982","bitte","ein","paar",3
"36983","sehen","will","muss",3
"36984","geholfen","zu","haben",3
"36985","die","beiden","als",3
"36986","frag","mich","wie",3
"36987","wie","lang","die",3
"36988","die","berliner","s-bahn",3
"36989","ich","bin","endlich",3
"36990","der","woche","bis",3
"36991","könnte","schlimmer","sein",3
"36992","eine","woche","in",3
"36993","fuß","zu","fassen",3
"36994","kann","ja","nich",3
"36995","doch","wenn","du",3
"36996","nur","noch","8",3
"36997","noch","8","minuten",3
"36998","machst","du","die",3
"36999","über","die","eurokrise",3
"37000","dass","du","alles",3
"37001","wenn","du","aber",3
"37002","minuten","auf","der",3
"37003","zu","lernen","ist",3
"37004","du","nicht","in",3
"37005","ist","halt","so",3
"37006","schon","vorbei","ich",3
"37007","wirklich","so","schlimm",3
"37008","es","sich","anhört",3
"37009","jetzt","hast","du",3
"37010","und","ich","könnte",3
"37011","das","erste","bild",3
"37012","ist","grad","nicht",3
"37013","kann","ganz","schön",3
"37014","bereich","um","den",3
"37015","um","den","bahnhof",3
"37016","nicht","ganz","anders",3
"37017","ich","noch","mit",3
"37018","da","so","ne",3
"37019","mich","mit","auf",3
"37020","ganz","zum","schluß",3
"37021","damit","stehen","die",3
"37022","seit","wann","haben",3
"37023","hat","bei","einem",3
"37024","kommt","noch","jemand",3
"37025","nicht","verstanden","und",3
"37026","ist","eine","wahl",3
"37027","nee","das","war",3
"37028","20","uhr","zum",3
"37029","nicht","ich","geh",3
"37030","oder","auch","in",3
"37031","jemanden","aus","dem",3
"37032","samstag","auf","der",3
"37033","möglich","ist","und",3
"37034","der","digitalen","revolution",3
"37035","haben","und","so",3
"37036","d","ich","freu",3
"37037","aus","dem","sonnigen",3
"37038","dem","apple","store",3
"37039","danke","und","viele",3
"37040","sehr","ich","dich",3
"37041","war","doch","so",3
"37042","so","ein","typ",3
"37043","danke","und","ein",3
"37044","sie","den","mann",3
"37045","kollegen","aus","der",3
"37046","bedanken","uns","für",3
"37047","für","deinen","besuch",3
"37048","immer","herzlich","willkommen",3
"37049","euch","allen","viel",3
"37050","mist","ich","hab",3
"37051","rt","glückwunsch","an",3
"37052","was","für","eure",3
"37053","tag","für","einen",3
"37054","endlich","mit","dem",3
"37055","ich","hab","bis",3
"37056","wissen","was","der",3
"37057","dies","nicht","zu",3
"37058","bestimmt","nicht","mehr",3
"37059","ist","die","musik",3
"37060","livestream","gibt","es",3
"37061","22","00","uhr",3
"37062","morgen","ich","habe",3
"37063","nur","das","es",3
"37064","an","und","fragt",3
"37065","es","gleich","auf",3
"37066","ich","wär","ja",3
"37067","ganz","zufrieden","aber",3
"37068","nur","per","email",3
"37069","den","tisch","gelegt",3
"37070","mir","einen","neuen",3
"37071","dran","dass","ich",3
"37072","kann","dass","er",3
"37073","die","innenstadt","von",3
"37074","immer","ein","guter",3
"37075","es","noch","13",3
"37076","einen","guten","abend",3
"37077","ich","werde","mein",3
"37078","sonntag","auf","dem",3
"37079","ist","noch","platz",3
"37080","noch","platz","im",3
"37081","nicht","mehr","melden",3
"37082","habe","ich","wenigstens",3
"37083","die","verpflichtung","von",3
"37084","es","ein","ende",3
"37085","schwierig","es","ist",3
"37086","habe","keine","zweifel",3
"37087","sie","ihrem","kind",3
"37088","ich","habs","noch",3
"37089","mit","etwas","mehr",3
"37090","nicht","so","wild",3
"37091","dann","geht","der",3
"37092","heißt","es","ja",3
"37093","hoffe","du","hattest",3
"37094","vermisse","ich","die",3
"37095","ist","das","wieder",3
"37096","gerade","erfahren","dass",3
"37097","bisher","auch","nicht",3
"37098","lässt","sich","da",3
"37099","sich","da","was",3
"37100","um","den","tag",3
"37101","hier","auch","der",3
"37102","sie","nächstes","jahr",3
"37103","was","du","schreibst",3
"37104","liebe","ich","es",3
"37105","ich","es","ist",3
"37106","mal","bin","ich",3
"37107","für","das","positive",3
"37108","auf","den","vortrag",3
"37109","immer","so","lange",3
"37110","so","lange","dauern",3
"37111","machst","du","heute",3
"37112","sind","wir","denn",3
"37113","bald","ist","der",3
"37114","will","man","sich",3
"37115","bekommen","für","die",3
"37116","nur","noch","zum",3
"37117","muss","jetzt","mal",3
"37118","und","es","ging",3
"37119","und","keine","lust",3
"37120","und","kann","dann",3
"37121","dass","ich","ganz",3
"37122","ja","wohl","eine",3
"37123","ich","ihn","schon",3
"37124","ich","jetzt","eigentlich",3
"37125","ist","wohl","schon",3
"37126","ist","das","gegenteil",3
"37127","schon","da","und",3
"37128","auch","das","der",3
"37129","es","nun","endlich",3
"37130","im","doppelten","sinne",3
"37131","und","kann","jetzt",3
"37132","die","frisur","sitzt",3
"37133","ist","überzeugt","dass",3
"37134","überzeugt","dass","er",3
"37135","wird","immer","mehr",3
"37136","es","mit","ihm",3
"37137","es","so","lustig",3
"37138","werden","von","dem",3
"37139","ich","jemals","wieder",3
"37140","sind","muss","ich",3
"37141","noch","wie","ein",3
"37142","meinen","koffer","und",3
"37143","fujitsu","future","forum",3
"37144","wie","zu","erwarten",3
"37145","auf","die","woche",3
"37146","die","woche","und",3
"37147","oh","gott","die",3
"37148","glaub","ich","ich",3
"37149","gut","muss","ich",3
"37150","knut","ist","tot",3
"37151","gesucht","bei","interesse",3
"37152","bei","interesse","meldet",3
"37153","interesse","meldet","euch",3
"37154","kann","doch","auch",3
"37155","am","2","april",3
"37156","zeit","und","ort",3
"37157","mal","nicht","schlecht",3
"37158","von","innen","gesehen",3
"37159","fall","aus","dem",3
"37160","nur","5","minuten",3
"37161","ob","sie","ihn",3
"37162","noch","keine","lust",3
"37163","und","lässt","den",3
"37164","morgen","vor","ort",3
"37165","kommst","du","auf",3
"37166","auf","ein","backblech",3
"37167","zum","schluss","die",3
"37168","darüber","hinaus","ist",3
"37169","vielen","dank","wünsche",3
"37170","wo","kriege","ich",3
"37171","du","schon","die",3
"37172","einblick","in","das",3
"37173","im","januar","2012",3
"37174","wenn","wir","zusammen",3
"37175","dank","auch","für",3
"37176","guten","morgen","einen",3
"37177","wurde","ich","durch",3
"37178","dann","ist","wieder",3
"37179","nach","zwei","stunden",3
"37180","steht","noch","eine",3
"37181","in","berlin","dabei",3
"37182","für","eine","gesamtschule",3
"37183","dann","schon","mal",3
"37184","bewegung","in","den",3
"37185","unter","dem","einfluss",3
"37186","um","das","mögliche",3
"37187","aktiv","in","der",3
"37188","sich","mal","die",3
"37189","mir","nicht","auf",3
"37190","auf","meine","sms",3
"37191","diese","woche","und",3
"37192","nicht","mehr","weh",3
"37193","aber","ich","muß",3
"37194","ist","von","mir",3
"37195","auch","nicht","hören",3
"37196","in","der","handtasche",3
"37197","es","ist","im",3
"37198","wenn","nicht","gleich",3
"37199","zu","früh","und",3
"37200","viele","wie","in",3
"37201","wie","in","berlin",3
"37202","wie","das","was",3
"37203","die","schwester","der",3
"37204","nämlich","auch","noch",3
"37205","nur","hab","ich",3
"37206","gut","bin","gespannt",3
"37207","aber","nicht","wieder",3
"37208","manchmal","auch","ein",3
"37209","manchmal","ist","man",3
"37210","ist","man","auch",3
"37211","das","schweigen","der",3
"37212","jedem","schiff","das",3
"37213","schiff","das","dampft",3
"37214","genießt","die","sonne",3
"37215","aber","immerhin","besser",3
"37216","bei","einer","anderen",3
"37217","nicht","wie","du",3
"37218","und","ich","sage",3
"37219","ich","sage","das",3
"37220","auf","meiner","todo",3
"37221","unabhängig","davon","ob",3
"37222","für","morgen","steht",3
"37223","sind","ich","will",3
"37224","diesem","buch","sind",3
"37225","sind","sehr","gut",3
"37226","wird","es","bunt",3
"37227","zu","machen","war",3
"37228","wäre","es","gut",3
"37229","dem","programm","stehen",3
"37230","ich","jetzt","bock",3
"37231","nur","das","wetter",3
"37232","durch","die","lüfte",3
"37233","macht","das","sinn",3
"37234","ich","in","meinen",3
"37235","werden","sie","ihr",3
"37236","noch","zwei","stunden",3
"37237","ist","ein","unglaublich",3
"37238","sind","die","neue",3
"37239","das","was","nicht",3
"37240","man","sein","leben",3
"37241","keinen","fall","nur",3
"37242","vor","mir","stehen",3
"37243","weiter","nach","vorne",3
"37244","so","endlich","wieder",3
"37245","einfach","nur","mal",3
"37246","es","gibt","natürlich",3
"37247","von","einem","jungen",3
"37248","ich","komm","gleich",3
"37249","langsam","komme","ich",3
"37250","naja","ihr","wisst",3
"37251","der","überzeugung","dass",3
"37252","überzeugung","dass","die",3
"37253","dass","die","hälfte",3
"37254","noch","ne","chance",3
"37255","sind","die","süß",3
"37256","aus","der","mittagspause",3
"37257","gehen","und","mit",3
"37258","von","mir","vor",3
"37259","schlechte","idee","aber",3
"37260","spät","für","die",3
"37261","selbst","ist","der",3
"37262","eier","mit","dem",3
"37263","mit","dem","zucker",3
"37264","dich","mal","bei",3
"37265","dann","hat","der",3
"37266","man","ihn","braucht",3
"37267","haben","das","kann",3
"37268","wir","lieben","uns",3
"37269","oder","zumindest","die",3
"37270","beim","in","der",3
"37271","da","wird","doch",3
"37272","auto","fahren","können",3
"37273","ab","11.00","uhr",3
"37274","ja","finde","ich",3
"37275","ich","auch","bis",3
"37276","auch","bis","zum",3
"37277","so","werden","wie",3
"37278","wie","es","einmal",3
"37279","es","einmal","war",3
"37280","diesem","tag","ist",3
"37281","zu","tun","damit",3
"37282","das","kriegen","wir",3
"37283","so","wird","man",3
"37284","wenn","plan","a",3
"37285","ich","weiss","noch",3
"37286","gespannt","auf","eure",3
"37287","von","der","lippe",3
"37288","mal","gucken","wer",3
"37289","an","sich","aber",3
"37290","so","nun","das",3
"37291","nicht","vergessen","werden",3
"37292","vergessen","werden","dass",3
"37293","der","social","media",3
"37294","kommt","bald","der",3
"37295","weil","ich","einfach",3
"37296","gleich","mal","zum",3
"37297","sehen","was","für",3
"37298","jetzt","geht","der",3
"37299","werden","auch","wenn",3
"37300","ich","da","ja",3
"37301","ein","echtes","problem",3
"37302","wo","habe","ich",3
"37303","weg","zu","bringen",3
"37304","und","lust","auf",3
"37305","zu","bringen","ist",3
"37306","ist","herzlich","eingeladen",3
"37307","einfach","mal","nichts",3
"37308","gerade","auf","einer",3
"37309","so","als","wären",3
"37310","ist","mir","dass",3
"37311","mir","dass","wir",3
"37312","als","wären","wir",3
"37313","ist","inzwischen","ganz",3
"37314","mag","es","ja",3
"37315","und","so","haben",3
"37316","mutter","von","zwei",3
"37317","ist","nur","aus",3
"37318","mich","gerne","ein",3
"37319","der","kurzen","zeit",3
"37320","habs","noch","nicht",3
"37321","es","eigentlich","immer",3
"37322","wir","ihnen","die",3
"37323","da","steht","man",3
"37324","steht","man","auf",3
"37325","ich","wusste","ja",3
"37326","ich","ihnen","recht",3
"37327","eh","viel","zu",3
"37328","voll","auf","ihre",3
"37329","ich","werde","hier",3
"37330","ob","mit","oder",3
"37331","sie","ja","schon",3
"37332","dabei","vor","allem",3
"37333","es","ist","wahr",3
"37334","braucht","man","eine",3
"37335","habe","zu","danken",3
"37336","oh","mann","die",3
"37337","sollte","ich","in",3
"37338","verraten","wir","euch",3
"37339","guten","morgen","aktuell",3
"37340","morgen","aktuell","in",3
"37341","aktuell","in","forchheim",3
"37342","den","schaden","hat",3
"37343","nicht","da","sein",3
"37344","heute","abend","feiern",3
"37345","bitte","beachten","sie",3
"37346","warst","du","nicht",3
"37347","hoffe","ich","doch",3
"37348","er","mit","ihr",3
"37349","kann","ich","selbst",3
"37350","kann","ich","in",3
"37351","das","große","glück",3
"37352","glück","ist","die",3
"37353","für","heute","morgen",3
"37354","heute","morgen","wieder",3
"37355","morgen","um","diese",3
"37356","werde","mich","jetzt",3
