"","W1","W2","Count"
"80005","fest","zu",4
"80006","die","bürgermeisterin",4
"80007","statt","über",4
"80008","jahr","aufs",4
"80009","der","meiner",4
"80010","als","16",4
"80011","sind","entweder",4
"80012","würde","als",4
"80013","patienten","nicht",4
"80014","jahre","2007",4
"80015","2007","bei",4
"80016","er","hinter",4
"80017","durch","während",4
"80018","wolle","in",4
"80019","donnerstag","um",4
"80020","und","beispielsweise",4
"80021","ein","klassiker",4
"80022","hans","dieter",4
"80023","der","crew",4
"80024","ist","europa",4
"80025","den","wilden",4
"80026","mit","gaddafi",4
"80027","gaddafi","und",4
"80028","der","weihnachtsbäckerei",4
"80029","wirtschaft","des",4
"80030","landes","auf",4
"80031","ausbreitung","des",4
"80032","beiträge","die",4
"80033","die","konzeption",4
"80034","zu","vermuten",4
"80035","jetzigen","form",4
"80036","um","längen",4
"80037","der","gläubige",4
"80038","orientierung","und",4
"80039","würde","dazu",4
"80040","als","künstler",4
"80041","aufstand","der",4
"80042","junge","generation",4
"80043","figuren","die",4
"80044","einer","beruflichen",4
"80045","dem","wichtigsten",4
"80046","und","migranten",4
"80047","ihr","etwas",4
"80048","meinen","kleinen",4
"80049","der","ulmer",4
"80050","mal","erlebt",4
"80051","würden","sagen",4
"80052","was","darf",4
"80053","verkaufen","will",4
"80054","jahren","am",4
"80055","ziemlich","schlimm",4
"80056","zahlt","die",4
"80057","zu","riskieren",4
"80058","strecke","und",4
"80059","eigentlich","unter",4
"80060","englischen","und",4
"80061","kopf","ein",4
"80062","william","in",4
"80063","verlassen","das",4
"80064","die","stasi",4
"80065","zahlen","sie",4
"80066","mit","heutigen",4
"80067","wiederum","ein",4
"80068","mit","stolz",4
"80069","leicht","wie",4
"80070","verarbeitet","werden",4
"80071","diese","variante",4
"80072","bürger","bei",4
"80073","mit","charme",4
"80074","sarkozy","in",4
"80075","sie","stets",4
"80076","nachmittag","auch",4
"80077","kommt","dieses",4
"80078","der","marktteilnehmer",4
"80079","retten","kann",4
"80080","ersten","zwei",4
"80081","andere","banken",4
"80082","und","heilung",4
"80083","bedarf","einer",4
"80084","der","zurückhaltung",4
"80085","benzin","und",4
"80086","leistungen","von",4
"80087","306","ps",4
"80088","die","sinne",4
"80089","bewohner","des",4
"80090","zerstörung","ihrer",4
"80091","der","illegalen",4
"80092","worden","wären",4
"80093","straftaten","im",4
"80094","reichen","der",4
"80095","ereignis","und",4
"80096","waren","habe",4
"80097","eure","kommentare",4
"80098","indem","du",4
"80099","und","geschmack",4
"80100","der","schwersten",4
"80101","und","glatt",4
"80102","dem","abschied",4
"80103","von","walter",4
"80104","zusammen","einen",4
"80105","selbst","es",4
"80106","keine","besonders",4
"80107","vornehmlich","aus",4
"80108","und","handel",4
"80109","und","verschwindet",4
"80110","darum","bemüht",4
"80111","anders","gelaufen",4
"80112","freier","journalist",4
"80113","fällt","im",4
"80114","der","weltwirtschaftskrise",4
"80115","gesellschaftlichen","und",4
"80116","die","inhaber",4
"80117","frei","erfunden",4
"80118","gebracht","das",4
"80119","woche","soll",4
"80120","die","kurz",4
"80121","schlechten","gewissen",4
"80122","gewissen","zu",4
"80123","anderes","buch",4
"80124","botschaft","die",4
"80125","und","leichter",4
"80126","zeit","lässt",4
"80127","woche","eine",4
"80128","das","palästinensische",4
"80129","ergebnis","ein",4
"80130","was","hinter",4
"80131","seinen","willen",4
"80132","einen","investor",4
"80133","jogi","löw",4
"80134","für","künftige",4
"80135","streiten","und",4
"80136","vermutet","die",4
"80137","ja","momentan",4
"80138","ihren","freundinnen",4
"80139","nicht","heiß",4
"80140","vom","ausland",4
"80141","hatten","allerdings",4
"80142","und","zitiert",4
"80143","die","angestellte",4
"80144","genau","dem",4
"80145","dem","schwarzwald",4
"80146","glaubt","sie",4
"80147","50","punkten",4
"80148","der","planet",4
"80149","beschluss","zum",4
"80150","der","flug",4
"80151","was","anderen",4
"80152","spiel","bringen",4
"80153","leider","nie",4
"80154","lieferung","von",4
"80155","ihm","meine",4
"80156","wahrnehmen","kann",4
"80157","passiert","man",4
"80158","passiert","nicht",4
"80159","trennt","die",4
"80160","leicht","für",4
"80161","mehrere","generationen",4
"80162","sie","z.b",4
"80163","um","viertel",4
"80164","unter","all",4
"80165","zieht","mit",4
"80166","jobs","mit",4
"80167","eine","eigenschaft",4
"80168","von","journalisten",4
"80169","blicken","lässt",4
"80170","rezepte","sind",4
"80171","über","seinem",4
"80172","wurde","habe",4
"80173","drückt","den",4
"80174","außerdem","konnte",4
"80175","als","jugendlicher",4
"80176","beschränkte","sich",4
"80177","wesentlichen","auf",4
"80178","ein","werkzeug",4
"80179","zum","internet",4
"80180","eltern","noch",4
"80181","in","südfrankreich",4
"80182","sehr","zur",4
"80183","nicht","identifizieren",4
"80184","22","bis",4
"80185","25","september",4
"80186","zu","lazio",4
"80187","jugendlichen","auf",4
"80188","lieben","zu",4
"80189","viel","der",4
"80190","größeren","mengen",4
"80191","hause","genommen",4
"80192","war","ging",4
"80193","nach","absprache",4
"80194","sie","ließ",4
"80195","und","georg",4
"80196","reise","ins",4
"80197","ins","dunkel",4
"80198","viel","wind",4
"80199","können","sollten",4
"80200","die","drittefreundin",4
"80201","aller","bürger",4
"80202","bin","dankbar",4
"80203","massen","an",4
"80204","haben","mein",4
"80205","muss","viel",4
"80206","den","umzug",4
"80207","in","santa",4
"80208","santa","cruz",4
"80209","anonymous","ist",4
"80210","auf","mehreren",4
"80211","gibt","dafür",4
"80212","lebt","das",4
"80213","gutem","willen",4
"80214","greift","nach",4
"80215","das","kurze",4
"80216","jesus","ist",4
"80217","blass","und",4
"80218","mann","wenn",4
"80219","mehr","wahr",4
"80220","auch","fragen",4
"80221","ja","denn",4
"80222","einem","foto",4
"80223","teuer","das",4
"80224","die","standorte",4
"80225","sein","körper",4
"80226","8","00",4
"80227","einen","ziemlich",4
"80228","natürlich","geht",4
"80229","auch","diejenigen",4
"80230","abgebrochen","und",4
"80231","deutschen","herbst",4
"80232","das","kochen",4
"80233","lassen","hatte",4
"80234","identisch","mit",4
"80235","beispiel","um",4
"80236","einer","vorlage",4
"80237","dem","blut",4
"80238","kochen","bringen",4
"80239","und","marco",4
"80240","sitzt","mit",4
"80241","so","rot",4
"80242","grenze","der",4
"80243","den","fersen",4
"80244","weise","auch",4
"80245","das","existenzrecht",4
"80246","in","freiheit",4
"80247","hause","kam",4
"80248","waffen","die",4
"80249","mit","glück",4
"80250","funktioniert","nach",4
"80251","den","eingang",4
"80252","geholt","das",4
"80253","er","anders",4
"80254","die","steuererklärung",4
"80255","noch","super",4
"80256","das","angeht",4
"80257","langes","leben",4
"80258","veröffentlicht","wird",4
"80259","geöffnet","der",4
"80260","selbst","willen",4
"80261","reicht","eine",4
"80262","das","königreich",4
"80263","geboren","werden",4
"80264","diesem","frühjahr",4
"80265","tagen","haben",4
"80266","zu","deutschen",4
"80267","öffentlichkeit","auch",4
"80268","lange","habe",4
"80269","ja","irgendwo",4
"80270","sigmund","freud",4
"80271","gold","silber",4
"80272","muss","zur",4
"80273","eltern","als",4
"80274","sein","man",4
"80275","wird","demnächst",4
"80276","ich","wenig",4
"80277","usa","noch",4
"80278","etwas","muss",4
"80279","und","kanten",4
"80280","dies","damit",4
"80281","angewandt","werden",4
"80282","ist","derjenige",4
"80283","alles","erzählen",4
"80284","durch","diesen",4
"80285","essen","haben",4
"80286","sehen","hier",4
"80287","hier","regelmäßig",4
"80288","eine","verletzung",4
"80289","positive","auswirkungen",4
"80290","günstiger","sind",4
"80291","wofür","man",4
"80292","einer","zeitung",4
"80293","meiner","brust",4
"80294","ist","soooo",4
"80295","tasche","hat",4
"80296","durchsetzung","des",4
"80297","eine","herausragende",4
"80298","die","bohnen",4
"80299","darauf","den",4
"80300","versuchen","denn",4
"80301","ausgeübt","wird",4
"80302","der","sprung",4
"80303","der","mein",4
"80304","stehen","zur",4
"80305","der","schwäbische",4
"80306","sechs","und",4
"80307","als","meinen",4
"80308","seinen","einsatz",4
"80309","dem","vorstandsvorsitzenden",4
"80310","war","weg",4
"80311","und","saturn",4
"80312","über","in",4
"80313","dieser","aktion",4
"80314","meinung","in",4
"80315","handeln","zu",4
"80316","genannt","und",4
"80317","das","stellte",4
"80318","etwas","unglücklich",4
"80319","institute","for",4
"80320","der","jäger",4
"80321","man","sucht",4
"80322","gut","aufgehoben",4
"80323","des","anbieters",4
"80324","ist","müssen",4
"80325","tatsächlich","etwas",4
"80326","eine","umfangreiche",4
"80327","der","radio",4
"80328","als","als",4
"80329","schnell","so",4
"80330","saß","und",4
"80331","allerdings","zeigt",4
"80332","deren","wirkung",4
"80333","bitter","nötig",4
"80334","ein","zusätzlicher",4
"80335","schon","seid",4
"80336","als","gutes",4
"80337","vorschläge","der",4
"80338","in","kleingruppen",4
"80339","senden","der",4
"80340","dem","verhalten",4
"80341","entwickeln","als",4
"80342","gefüllt","und",4
"80343","zu","mensch",4
"80344","zügig","und",4
"80345","gesetz","in",4
"80346","reise","der",4
"80347","von","wut",4
"80348","enttäuscht","sein",4
"80349","pflanzen","die",4
"80350","jeweils","die",4
"80351","bleibenden","eindruck",4
"80352","unserem","garten",4
"80353","hauptstadt","von",4
"80354","verteidigt","die",4
"80355","usw","usw",4
"80356","verkaufen","kann",4
"80357","doch","weil",4
"80358","im","gedenken",4
"80359","ist","unwahrscheinlich",4
"80360","versuchen","ein",4
"80361","nerv","und",4
"80362","der","krebs",4
"80363","zu","75",4
"80364","und","enden",4
"80365","zu","gibt",4
"80366","ist","stärker",4
"80367","tausende","fans",4
"80368","erfahrung","für",4
"80369","den","1980er",4
"80370","bildet","eine",4
"80371","eigenen","hälfte",4
"80372","vermeiden","und",4
"80373","will","sein",4
"80374","zur","genehmigung",4
"80375","usb","und",4
"80376","als","wollten",4
"80377","15","juni",4
"80378","stehen","sich",4
"80379","meinem","sohn",4
"80380","april","2009",4
"80381","freistoß","aus",4
"80382","es","klare",4
"80383","fällen","nicht",4
"80384","150.000","euro",4
"80385","damit","will",4
"80386","von","l",4
"80387","oft","über",4
"80388","dem","eintritt",4
"80389","unsere","zukunft",4
"80390","die","restliche",4
"80391","ein","teilnehmer",4
"80392","angesichts","ihrer",4
"80393","sind","umso",4
"80394","ökologisch","und",4
"80395","des","nachts",4
"80396","daß","auch",4
"80397","ungewöhnlich","ist",4
"80398","der","schöpfer",4
"80399","den","sternen",4
"80400","versucht","und",4
"80401","fast","unter",4
"80402","und","zerstört",4
"80403","lassen","dazu",4
"80404","dazu","kamen",4
"80405","seine","wirkung",4
"80406","nimmt","auch",4
"80407","wahl","eines",4
"80408","binnen","zwei",4
"80409","noch","bessere",4
"80410","schieben","und",4
"80411","sie","ging",4
"80412","den","abzug",4
"80413","dem","ruder",4
"80414","lage","versetzt",4
"80415","die","elektrischen",4
"80416","hatten","er",4
"80417","die","positionen",4
"80418","verabschieden","und",4
"80419","und","versteht",4
"80420","es","ermöglicht",4
"80421","keinen","bedarf",4
"80422","energie","um",4
"80423","dem","vorschlag",4
"80424","enttäuscht","die",4
"80425","im","store",4
"80426","verluste","in",4
"80427","mit","preisen",4
"80428","demokratie","wie",4
"80429","rückseite","ist",4
"80430","und","filmen",4
"80431","landschaft","und",4
"80432","70","euro",4
"80433","aufwand","und",4
"80434","sicherer","als",4
"80435","doch","statt",4
"80436","zwang","und",4
"80437","endgültige","entscheidung",4
"80438","g","e",4
"80439","fuß","nach",4
"80440","online-ausgabe","der",4
"80441","und","billiger",4
"80442","am","spielplatz",4
"80443","manager","für",4
"80444","von","august",4
"80445","stieg","in",4
"80446","nordrhein-westfalen","die",4
"80447","alles","dinge",4
"80448","meinen","es",4
"80449","sondern","ausschließlich",4
"80450","eines","ihrer",4
"80451","unsere","leser",4
"80452","gemütlich","mit",4
"80453","sich","politiker",4
"80454","diesen","text",4
"80455","die","sächsische",4
"80456","es","verändert",4
"80457","staat","für",4
"80458","tut","ist",4
"80459","verwöhnen","lassen",4
"80460","von","harald",4
"80461","hier","deshalb",4
"80462","siehe","hier",4
"80463","war","wenn",4
"80464","einen","ofen",4
"80465","getragen","und",4
"80466","in","solch",4
"80467","gewinnen","wenn",4
"80468","das","großartig",4
"80469","das","sollen",4
"80470","ihrer","landsleute",4
"80471","draußen","noch",4
"80472","landete","im",4
"80473","zwischen","14",4
"80474","das","dilemma",4
"80475","israel","ein",4
"80476","juden","nicht",4
"80477","nina","hagen",4
"80478","sowohl","an",4
"80479","und","zwingt",4
"80480","lehre","aus",4
"80481","beitragen","dass",4
"80482","aktuelle","und",4
"80483","sonst","üblich",4
"80484","eben","immer",4
"80485","macht","kommen",4
"80486","notfalls","auch",4
"80487","festen","überzeugung",4
"80488","sah","vor",4
"80489","hielt","er",4
"80490","eine","massive",4
"80491","fliegen","auch",4
"80492","zur","heimat",4
"80493","sorge","und",4
"80494","der","privatisierung",4
"80495","dafür","will",4
"80496","privatisierung","des",4
"80497","ihres","vermögens",4
"80498","finden","oder",4
"80499","anderen","oder",4
"80500","der","allen",4
"80501","mütter","und",4
"80502","schiff","mit",4
"80503","zu","rücken",4
"80504","den","kürbis",4
"80505","konrad","adenauer",4
"80506","hatte","niemand",4
"80507","unser","kleiner",4
"80508","grunde","eine",4
"80509","von","meike",4
"80510","braucht","den",4
"80511","so","manchem",4
"80512","fertig","bekommen",4
"80513","diese","und",4
"80514","voll","aus",4
"80515","gegen","dieses",4
"80516","bzw","mit",4
"80517","kamera","nicht",4
"80518","einer","handvoll",4
"80519","wo","mich",4
"80520","oder","wochen",4
"80521","wenigstens","für",4
"80522","trug","er",4
"80523","fdp","aus",4
"80524","die","romantik",4
"80525","nicht","verbieten",4
"80526","beschäftigte","sich",4
"80527","in","vielerlei",4
"80528","noch","zahlreiche",4
"80529","dankbar","dafür",4
"80530","bündel","von",4
"80531","sollte","bis",4
"80532","offenbar","kein",4
"80533","einfließen","lassen",4
"80534","außerdem","der",4
"80535","und","merkt",4
"80536","im","reinen",4
"80537","versuchen","in",4
"80538","dem","gymnasium",4
"80539","der","verstorbenen",4
"80540","enden","wollenden",4
"80541","wirken","wie",4
"80542","am","tresen",4
"80543","dennoch","scheint",4
"80544","musste","nach",4
"80545","hart","wie",4
"80546","ist","damals",4
"80547","ein","harmonisches",4
"80548","den","fortbestand",4
"80549","als","königin",4
"80550","kaufen","sich",4
"80551","kann","andere",4
"80552","schon","nichts",4
"80553","problem","schon",4
"80554","am","kleinen",4
"80555","den","nötigen",4
"80556","überhaupt","war",4
"80557","ein","zahn",4
"80558","der","holocaust",4
"80559","produkten","die",4
"80560","mit","allerlei",4
"80561","muster","und",4
"80562","beschäftigten","in",4
"80563","auf","12",4
"80564","jenem","abend",4
"80565","kurzem","noch",4
"80566","aufs","meer",4
"80567","vor","zwanzig",4
"80568","soziales","engagement",4
"80569","das","parkhaus",4
"80570","11","jahre",4
"80571","zufügen","und",4
"80572","trat","als",4
"80573","ihn","nun",4
"80574","kaum","habe",4
"80575","nicht","während",4
"80576","dieses","verhalten",4
"80577","durften","wir",4
"80578","dies","trifft",4
"80579","seinen","kleinen",4
"80580","lange","aber",4
"80581","der","straßenmeisterei",4
"80582","die","l",4
"80583","der","einmündung",4
"80584","zwischen","seinen",4
"80585","aufgestellt","die",4
"80586","etwa","45",4
"80587","liefern","sie",4
"80588","3","x",4
"80589","uns","daran",4
"80590","erinnert","das",4
"80591","können","wollen",4
"80592","müssen","ihnen",4
"80593","verschaffen","und",4
"80594","offiziell","eine",4
"80595","damit","einer",4
"80596","es","meines",4
"80597","bestehenden","vertrag",4
"80598","und","begrüßen",4
"80599","vier","große",4
"80600","angestellten","der",4
"80601","prozent","hält",4
"80602","seite","stellen",4
"80603","können","darüber",4
"80604","gesundheitlichen","folgen",4
"80605","nicht","abschätzen",4
"80606","freunde","des",4
"80607","sich","begeistert",4
"80608","entscheidung","bei",4
"80609","der","niedergang",4
"80610","lehnen","sie",4
"80611","die","verbesserung",4
"80612","eines","modernen",4
"80613","mit","christian",4
"80614","das","reizt",4
"80615","bild","zu",4
"80616","rühren","und",4
"80617","es","bereitet",4
"80618","erwartet","sie",4
"80619","werden","beide",4
"80620","die","freiwillige",4
"80621","seiner","freizeit",4
"80622","gab","ihm",4
"80623","dadurch","kann",4
"80624","humorvoll","und",4
"80625","kind","of",4
"80626","september","einen",4
"80627","zu","bemerken",4
"80628","weiter","verfolgt",4
"80629","zu","richten",4
"80630","insgesamt","über",4
"80631","hinterher","und",4
"80632","bibliothek","der",4
"80633","beenden","die",4
"80634","werden","lediglich",4
"80635","orts","und",4
"80636","große","stärke",4
"80637","wird","möglicherweise",4
"80638","darauf","waren",4
"80639","die","psychologie",4
"80640","ruhiger","angehen",4
"80641","den","jeweils",4
"80642","ändern","wenn",4
"80643","mittlerweile","so",4
"80644","ein","anschlag",4
"80645","ein","ungewöhnlicher",4
"80646","gezeigt","was",4
"80647","der","athener",4
"80648","betreiben","und",4
"80649","anzeigen","kann",4
"80650","nur","freunde",4
"80651","eine","bei",4
"80652","nicht","namentlich",4
"80653","westen","nicht",4
"80654","geändert","wurde",4
"80655","profitieren","der",4
"80656","der","ertrag",4
"80657","titel","eines",4
"80658","erreicht","sie",4
"80659","gegnern","der",4
"80660","knapp","1",4
"80661","legte","den",4
"80662","der","stau",4
"80663","jugend","im",4
"80664","dem","korb",4
"80665","außer","acht",4
"80666","gewesen","aus",4
"80667","sind","weltweit",4
"80668","anleitung","zum",4
"80669","der","zauberlehrling",4
"80670","gesetz","ist",4
"80671","jeweils","zehn",4
"80672","weltweit","zu",4
"80673","wäre","wirklich",4
"80674","passieren","wird",4
"80675","sehen","er",4
"80676","als","außenseiter",4
"80677","und","sternen",4
"80678","nach","madrid",4
"80679","besonders","den",4
"80680","feier","und",4
"80681","mit","65",4
"80682","mehr","tiefe",4
"80683","wäre","aus",4
"80684","und","sobald",4
"80685","einer","scharfen",4
"80686","der","weiter",4
"80687","um","darin",4
"80688","anwärter","auf",4
"80689","ein","kalter",4
"80690","wie","ihm",4
"80691","kehrt","das",4
"80692","wort","vom",4
"80693","überfüllt","und",4
"80694","frequenzen","die",4
"80695","band","zu",4
"80696","ein","vertrag",4
"80697","und","oberflächlich",4
"80698","herstellen","kann",4
"80699","ihnen","leben",4
"80700","einer","winzigen",4
"80701","das","metall",4
"80702","lassen","meine",4
"80703","deshalb","als",4
"80704","freude","bereiten",4
"80705","des","rechts",4
"80706","bisher","gab",4
"80707","yingli","solar",4
"80708","im","chinesischen",4
"80709","nachteile","für",4
"80710","sahen","es",4
"80711","thema","von",4
"80712","peter","pan",4
"80713","gezwungen","werden",4
"80714","tempo","zu",4
"80715","wen","der",4
"80716","transfer","von",4
"80717","ganze","war",4
"80718","arbeiteten","die",4
"80719","betreuung","von",4
"80720","zusammenhänge","zwischen",4
"80721","rief","ich",4
"80722","tun","sei",4
"80723","verstärkt","und",4
"80724","begründet","den",4
"80725","entwickele","sich",4
"80726","wir","zwar",4
"80727","beworben","habe",4
"80728","hier","aufgewachsen",4
"80729","läuft","den",4
"80730","titel","auf",4
"80731","im","rhythmus",4
"80732","einer","abstimmung",4
"80733","mehrere","der",4
"80734","stoff","mit",4
"80735","trotzdem","sollte",4
"80736","annäherung","an",4
"80737","mit","butter",4
"80738","mit","mehl",4
"80739","die","polizeibeamten",4
"80740","den","20er",4
"80741","20er","jahren",4
"80742","dem","verschwinden",4
"80743","bislang","habe",4
"80744","der","langjährigen",4
"80745","anderen","hat",4
"80746","den","abendstunden",4
"80747","machen","durch",4
"80748","bewirbt","sich",4
"80749","beim","tus",4
"80750","nichts","hat",4
"80751","afghanistan","mit",4
"80752","im","volk",4
"80753","mittel","im",4
"80754","einen","makler",4
"80755","köln","auf",4
"80756","einer","immer",4
"80757","zeigte","mir",4
"80758","überfahren","und",4
"80759","dieses","stück",4
"80760","schließlich","doch",4
"80761","nicht","entziehen",4
"80762","zeigt","aber",4
"80763","aber","zuvor",4
"80764","18","dezember",4
"80765","hohen","und",4
"80766","staaten","mit",4
"80767","mannes","in",4
"80768","highlight","der",4
"80769","schlechten","nachrichten",4
"80770","sinn","zu",4
"80771","verstanden","wissen",4
"80772","of","his",4
"80773","können","am",4
"80774","einem","weißen",4
"80775","auch","kurz",4
"80776","antwort","wäre",4
"80777","mitte","wird",4
"80778","die","gentechnik",4
"80779","beweisen","wollte",4
"80780","windet","sich",4
"80781","zwischen","ihren",4
"80782","im","heimspiel",4
"80783","verstehen","der",4
"80784","stärken","der",4
"80785","das","mittelfeld",4
"80786","aussichtsreicher","position",4
"80787","zur","führung",4
"80788","versuchen","wir",4
"80789","metall","und",4
"80790","der","fragen",4
"80791","des","datums",4
"80792","maria","hilf",4
"80793","rassismus","und",4
"80794","bier","aus",4
"80795","transport","von",4
"80796","deshalb","müsse",4
"80797","fragen","als",4
"80798","halbfinale","gegen",4
"80799","jahre","dann",4
"80800","sich","möglichst",4
"80801","der","flüchtlinge",4
"80802","nicht","verbessert",4
"80803","passiert","kann",4
"80804","einen","mehr",4
"80805","dieser","sollte",4
"80806","kenner","der",4
"80807","kind","der",4
"80808","seinen","kindern",4
"80809","zumal","wenn",4
"80810","staates","in",4
"80811","fordern","eine",4
"80812","aussicht","darauf",4
"80813","26","und",4
"80814","stadion","mit",4
"80815","setzte","es",4
"80816","sommer","über",4
"80817","den","automatischen",4
"80818","mensch","sich",4
"80819","sind","durchaus",4
"80820","vorhersehbar","gewesen",4
"80821","des","angriffs",4
"80822","angriffs","auf",4
"80823","besser","verstanden",4
"80824","wie","fern",4
"80825","gesellschaft","auf",4
"80826","gestrickt","und",4
"80827","zu","rekrutieren",4
"80828","buch","bekommen",4
"80829","griechenland","hat",4
"80830","versicherungen","und",4
"80831","später","nach",4
"80832","ein","schneller",4
"80833","ihm","ihre",4
"80834","i","hope",4
"80835","freunde","ihr",4
"80836","war","diesen",4
"80837","er","irgendwann",4
"80838","der","blase",4
"80839","wie","oben",4
"80840","allerdings","wieder",4
"80841","und","väter",4
"80842","mitarbeiter","bei",4
"80843","aber","umso",4
"80844","busse","und",4
"80845","und","bahnen",4
"80846","als","ursache",4
"80847","zu","tauschen",4
"80848","westliche","welt",4
"80849","ausgesprochen","und",4
"80850","auf","geheiß",4
"80851","immer","dicker",4
"80852","sie","erleben",4
"80853","jahren","dabei",4
"80854","ausgelöst","werden",4
"80855","rund","130",4
"80856","die","warnungen",4
"80857","einer","wunderschönen",4
"80858","ein","debakel",4
"80859","bietet","einen",4
"80860","ein","gelungenes",4
"80861","im","historischen",4
"80862","sind","somit",4
"80863","die","bittere",4
"80864","sitzt","da",4
"80865","kino","in",4
"80866","mit","foto",4
"80867","die","bänder",4
"80868","seine","stelle",4
"80869","zeichnungen","von",4
"80870","zu","doch",4
"80871","bei","inter",4
"80872","kann","dafür",4
"80873","dafür","stehen",4
"80874","drei","verschiedene",4
"80875","seine","idee",4
"80876","jane","austen",4
"80877","vom","14",4
"80878","15","april",4
"80879","erfahren","aber",4
"80880","tatsache","daß",4
"80881","dadurch","noch",4
"80882","dem","gefängnis",4
"80883","geboren","die",4
"80884","den","sehr",4
"80885","sich","umgehend",4
"80886","stehen","das",4
"80887","ground","zero",4
"80888","vor","obwohl",4
"80889","anfragen","von",4
"80890","erzählt","ich",4
"80891","nichts","nach",4
"80892","zur","veröffentlichung",4
"80893","sätze","und",4
"80894","bedeutet","sie",4
"80895","entweder","es",4
"80896","wurde","wird",4
"80897","aus","nur",4
"80898","die","bestände",4
"80899","staat","israel",4
"80900","seine","handynummer",4
"80901","eine","äußerung",4
"80902","der","araber",4
"80903","eingeständnis","der",4
"80904","ringe","schneiden",4
"80905","den","wurzeln",4
"80906","wollen","natürlich",4
"80907","npd","in",4
"80908","verwandten","und",4
"80909","einer","globalen",4
"80910","dem","regisseur",4
"80911","oder","machen",4
"80912","der","wolke",4
"80913","finden","ihn",4
"80914","kinder","sich",4
"80915","braucht","zeit",4
"80916","aber","all",4
"80917","einen","ausschnitt",4
"80918","ausschnitt","aus",4
"80919","januar","ist",4
"80920","wieder","dieses",4
"80921","dem","nötigen",4
"80922","des","forums",4
"80923","sitz","des",4
"80924","spazieren","gegangen",4
"80925","einige","bilder",4
"80926","dinge","kann",4
"80927","einem","einfach",4
"80928","ziehen","können",4
"80929","der","queen",4
"80930","zu","weisen",4
"80931","diese","vorstellung",4
"80932","gründungsmitglied","der",4
"80933","breiten","öffentlichkeit",4
"80934","schließlich","will",4
"80935","welt","steht",4
"80936","freundliche","und",4
"80937","konsens","in",4
"80938","sein","volk",4
"80939","so","selbstbewusst",4
"80940","satz","gesagt",4
"80941","aber","sofort",4
"80942","ebene","des",4
"80943","behauptet","zumindest",4
"80944","unsere","gemeinsame",4
"80945","deutsche","politik",4
"80946","das","genauso",4
"80947","dem","geschäftsführer",4
"80948","noch","gerne",4
"80949","dem","urknall",4
"80950","das","europaparlament",4
"80951","liebe","solche",4
"80952","des","so",4
"80953","linkspartei","und",4
"80954","er","lieber",4
"80955","banken","gegen",4
"80956","dadurch","ein",4
"80957","buches","die",4
"80958","diese","wird",4
"80959","leser","aber",4
"80960","auch","gezielt",4
"80961","sehr","häufig",4
"80962","neue","antworten",4
"80963","begrüßen","und",4
"80964","fünf","kilometer",4
"80965","machen","von",4
"80966","16","november",4
"80967","richtig","sind",4
"80968","schwieriger","ist",4
"80969","wuchs","in",4
"80970","verzichtet","wird",4
"80971","machen","würden",4
"80972","besetzt","ist",4
"80973","den","deckel",4
"80974","verwendet","und",4
"80975","als","platzhalter",4
"80976","stellen","wie",4
"80977","der","1000",4
"80978","nicht","befolgt",4
"80979","500","m",4
"80980","aufnahmen","die",4
"80981","schwanger","sein",4
"80982","1970","in",4
"80983","ich","bezweifle",4
"80984","den","zusammenschluss",4
"80985","zusammenschluss","von",4
"80986","nahe","stehen",4
"80987","euro","gesenkt",4
"80988","angaben","zur",4
"80989","reden","so",4
"80990","gefunden","ein",4
"80991","längere","strecke",4
"80992","ganz","simpel",4
"80993","sooo","schön",4
"80994","riesig","freuen",4
"80995","niederlage","des",4
"80996","jede","von",4
"80997","solche","auf",4
"80998","fing","der",4
"80999","gehört","als",4
"81000","gab","zu",4
"81001","rang","in",4
"81002","es","relativ",4
"81003","verändert","haben",4
"81004","für","fußgänger",4
"81005","wollte","keine",4
"81006","mussten","und",4
"81007","auch","stark",4
"81008","es","lässt",4
"81009","sich","zunehmend",4
"81010","beobachten","dass",4
"81011","gemeinschaft","von",4
"81012","verbrauchte","punkte",4
"81013","zum","wichtigsten",4
"81014","hof","und",4
"81015","freude","daran",4
"81016","ein","garant",4
"81017","bochum","und",4
"81018","ihre","fähigkeiten",4
"81019","sich","spontan",4
"81020","aufzuklären","und",4
"81021","können","vielleicht",4
"81022","der","verdrängung",4
"81023","entdeckt","der",4
"81024","so","schwierig",4
"81025","es","käme",4
"81026","gemeinsam","das",4
"81027","geplant","das",4
"81028","eigenen","geschichte",4
"81029","eine","akute",4
"81030","riecht","die",4
"81031","zurzeit","nur",4
"81032","rüber","und",4
"81033","verschiedenen","größen",4
"81034","viel","nur",4
"81035","beschäftigt","habe",4
"81036","war","überrascht",4
"81037","auch","gefunden",4
"81038","die","gremien",4
"81039","nervös","die",4
"81040","deutschen","atomkraftwerke",4
"81041","heute","dabei",4
"81042","mit","folgenden",4
"81043","fällt","ihm",4
"81044","hier","fand",4
"81045","nun","es",4
"81046","blick","für",4
"81047","super","nett",4
"81048","ausgesprochen","hat",4
"81049","männer","ein",4
"81050","kann","ebenfalls",4
"81051","berlin","keine",4
"81052","haben","kinder",4
"81053","seitdem","nicht",4
"81054","und","meinten",4
"81055","besser","sei",4
"81056","pro","kilogramm",4
"81057","daher","auf",4
"81058","die","vernichtung",4
"81059","weile","dauern",4
"81060","befinden","und",4
"81061","daher","bleibt",4
"81062","geschlossen","auch",4
